"dt","facet_value","relative_trap_hits"
"2018-01-01","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-02","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-03","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-04","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-05","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-06","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-07","buy-my-weed-online---customer-care.intercom-mail.com","0"
"2018-01-10","buy-my-weed-online---customer-care.intercom-mail.com","0.00557620817843866"
