"dt","facet_value","relative_trap_hits"
"2018-01-01","crugo.com","0"
"2018-01-02","crugo.com","0"
"2018-01-03","crugo.com","0"
"2018-01-04","crugo.com","0"
"2018-01-05","crugo.com","0"
"2018-01-06","crugo.com","0"
"2018-01-10","crugo.com","0.125"
