"dt","facet_value","relative_trap_hits"
"2018-01-01","mangomap.com","0"
"2018-01-02","mangomap.com","0"
"2018-01-03","mangomap.com","0"
"2018-01-04","mangomap.com","0"
"2018-01-05","mangomap.com","0"
"2018-01-06","mangomap.com","0"
"2018-01-10","mangomap.com","0.00696864111498258"
